Order Id,Order Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub Category,Product Id,cost price,List Price,Quantity,Discount Percent
1,01-03-2023,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,240,260,2,2
2,15-08-2023,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,600,730,3,3
3,10-01-2023,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,OFF-LA-10000240,10,10,2,5
4,18-06-2022,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,FUR-TA-10000577,780,960,5,2
5,13-07-2022,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,OFF-ST-10000760,20,20,2,5
6,13-03-2022,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,FUR-FU-10001487,50,50,7,3
7,28-12-2022,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,OFF-AR-10002833,10,10,4,3
8,25-01-2022,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002275,860,910,6,5
9,23-03-2023,Not Available,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,OFF-BI-10003910,20,20,3,2
10,16-05-2023,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,OFF-AP-10002892,90,110,5,3
11,31-03-2023,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,FUR-TA-10001539,1470,1710,9,3
12,25-12-2023,Not Available,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002033,750,910,4,3
13,11-02-2022,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,OFF-PA-10002365,20,20,3,3
14,18-07-2023,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10003656,360,410,3,2
15,09-11-2023,unknown,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,OFF-AP-10002311,60,70,5,5
16,18-06-2022,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,0,0,3,5
17,04-02-2022,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,610,670,6,3
18,04-08-2023,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,60,60,2,4
19,23-01-2022,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,10,10,2,4
20,11-01-2022,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170,210,3,3
21,05-10-2022,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,20,20,4,2
22,16-07-2023,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20,20,7,4
23,06-05-2023,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,3
24,21-05-2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,70,2,4
25,24-02-2023,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,1040,3,5
26,20-06-2022,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,10,2,5
27,08-02-2022,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,90,3,3
28,11-12-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,3
29,21-08-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,10,2,5
30,14-08-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,120,3,4
31,20-11-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,0,0,2,5
32,19-01-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,90,6,4
33,30-01-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,5
34,03-06-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,4
35,28-09-2022,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,3
36,30-10-2022,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,5
37,27-07-2023,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,4
38,07-03-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,2
39,18-08-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,2
40,20-01-2022,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,2
41,29-06-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,370,4,5
42,28-06-2022,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,150,4,3
43,09-02-2023,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,5
44,18-09-2023,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,4
45,11-11-2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,2
46,27-05-2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,5
47,03-02-2023,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,4
48,16-02-2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,50,3,5
49,06-05-2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,20,2,4
50,18-06-2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4
51,11-01-2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4
52,09-09-2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4
53,31-01-2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,5
54,30-07-2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3
55,17-10-2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,1030,5,4
56,06-07-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5
57,15-09-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5
58,09-08-2022,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,2
59,05-04-2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4
60,24-06-2023,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,30,2,5
61,10-03-2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2
62,08-04-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,0,1,5
63,16-10-2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,10,2,3
64,02-08-2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2
65,05-11-2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5
66,06-05-2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2
67,26-03-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,5
68,10-04-2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3
69,12-08-2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,170,4,3
70,25-02-2022,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2
71,29-11-2022,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3
72,18-12-2022,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3
73,07-03-2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,2
74,12-07-2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3
75,21-10-2022,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2
76,17-04-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4
77,20-05-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4
78,13-05-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2
79,20-10-2022,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2
80,22-10-2023,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3
81,20-07-2022,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2
82,16-11-2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,5
83,10-11-2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4
